,x,y
meCgPPh,520,88
RuPhos,628,90
VPhos,753,90
IPENT Cl,1305,117
DiMel-HeptCl,1423,127
Piperidinyl-amino-pincer,402,186
cPhos,586,193
SPhos,694,196
Jackie Phos,836,191
GPhos,974,208
IPENT,1281,223
IHept,1393,233
N-XantPhos,257,247
TrixiePhos,537,319
CyJohnPhos,652,311
BrettPhos,787,304
EPhos,898,301
SIPr,1295,338
Triisobutyl-Phosphatrane,1428,380
PPh_3,142,274
DPEPhos,223,365
XantPhos,338,355
BINAP,444,409
XPhos,615,414
RockPhos,721,404
tBuBrettPhos,844,400
AlPhos,976,390
Amphos,1114,446
P(tBu)_2Ph,1227,473
P(oTol)_3,68,373
dppp,225,478
dppf,343,463
dtbpf,446,532
tBuXPhos,564,520
Me4tBuX-Phos,682,522
Me3(OMe)-tBuXPhos,795,505
AdBrettPhos,927,495
Mordal-Phos,1030,525
P(tBu)_3,1146,552
cataCXlum A,1271,557
tBu-Phosphonito,181,638
dppdtbpf,336,571
dcypf,419,650
JosiPhosSL J009-1,525,625
QPhos,633,625
BippyPhos,750,615
AdBippyPhos,861,596
PCy_3,981,652
PtBu(Cy)_2,1092,652
cBridP,1204,660
CPhos,580,196
Jackie CPhos,720,194
